CAUDAL;TEMPERATUR;OLOR;CONDUCTIVIDAD_ELECTRICA;PH_IN_SITU;CLASIFICACION
0.25;51;0;2825;6.71;Clorurada
1.3;50.8;0;1363;6.147;Clorurada
1;62.5;0;4900;6.58;Clorurada
1;67.5;0;3670;6.19;Clorurada
0.1;84;0;3880;6.7;Clorurada
5;88;0;3430;7.78;Clorurada
0.1;46;1;3230;6.11;Clorurada
4;58;0;2468;6.26;Clorurada
0;0;1;0;7.9;Clorurada
0;74;2;0;8.2;Sulfatada
0;21;0;46000;6.5;Sulfatada
0;63.4;1;42500;7.2;Sulfatada
0;46.5;0;1199;8.43;Sulfatada
5.45;48.8;0;1232;8.54;Sulfatada
0;34.5;0;1075;7.8;Sulfatada
0;50.5;1;1368;8.83;Sulfatada
0;38.1;0;2065;8.08;Sulfatada
1.35;36.2;0;936;8.84;Sulfatada
8;24.5;1;2004;5.44;Sulfatada
12;90.1;1;5030;3.76;Clorurada
30;44.6;0;8080;1.71;Sulfatada
50;41;0;2408;7.11;Clorurada
0;32.9;2;1635;4.57;Sulfatada
1.2;63;2;10650;1.62;Sulfatada
0;21.5;0;55800;6.3;Sulfatada
1.5;40;0;3420;5.99;Clorurada
0;59.5;0;2830;6.73;Clorurada
0.33;32;0;8740;6.15;Clorurada
1;29.5;0;5850;1.97;Sulfatada
0.2;62.5;2;10540;1.61;Sulfatada
2;58;2;10230;1.61;Sulfatada
4;48;1;9070;1.71;Sulfatada
2;45;1;8570;1.74;Sulfatada
3;44.5;1;8410;1.73;Sulfatada
11;42.7;0;4040;7.3;Clorurada
0;48;0;0;6.12;Sulfatada
4;73.7;2;975;6.77;Clorurada
4;32;1;2539;3.07;Sulfatada
0.25;38;0;2920;7.17;Clorurada
0;32;0;0;5.5;Sulfatada
2;33.2;0;1420;7.44;Sulfatada
0.5;47.5;0;2676;6.16;Sulfatada
1;52.5;0;2960;6.27;Sulfatada
1.5;76;0;3120;6.36;Clorurada
3.5;50;0;1164;5.89;Clorurada
0.5;81;0;3330;6.34;Clorurada
3;64;0;2416;6.18;Clorurada
1;70.5;0;3280;6.48;Clorurada
0.5;80.5;0;3190;6.29;Clorurada
1;38.7;0;1264;6.13;Sulfatada
2;41.5;0;1647;6.01;Sulfatada
1.5;45;0;8830;6.12;Clorurada
1.5;36.8;0;1008;8.4;Clorurada
0.2;23;0;4380;3.37;Sulfatada
1.5;19.5;2;2156;3.89;Sulfatada
0.2;28;0;1568;6.28;Sulfatada
2.5;22;2;2242;5.43;Sulfatada
2;21;2;2229;5.45;Sulfatada
0;29.3;1;0;3.9;Sulfatada
0;38.5;1;1347;7.24;Clorurada
1.2;28.9;0;1398;7.24;Clorurada
1;58;1;21620;1.25;Sulfatada
0;37.4;1;1140;6.73;Clorurada
1;32.4;1;724;7.31;Clorurada
0;69.4;1;43100;6.84;Sulfatada
0.8;53.8;0;272.2;5.59;Clorurada
0.5;33;0;3200;6.22;Clorurada
0.2;39;0;7770;6.26;Clorurada
0;47;1;8860;1.73;Sulfatada
0;24.1;1;11860;6.53;Clorurada
20;25.4;1;3760;2.24;Sulfatada
2.16;23.2;1;2498;2.46;Sulfatada
0;34.3;2;1791;4.7;Sulfatada
0.05;37.9;1;12550;6.48;Clorurada
0.3;17.9;2;135.5;3.6;Sulfatada
1;35.1;0;239.7;3.72;Sulfatada
2;29.7;2;17920;7.39;Clorurada
1;52.7;1;42900;6.8;Sulfatada
1;53.4;1;39700;7;Sulfatada
0;62.2;1;44100;7;Sulfatada
0;30.2;1;27600;6.3;Sulfatada
0;53.2;2;2910;6.7;Clorurada
0;69.5;1;2799;3.36;Sulfatada
0;88.3;2;1260;2.54;Sulfatada
2;41.3;0;698;8.54;Clorurada
27;32.2;0;69.3;4.57;Sulfatada
0;26.4;0;2462;7.21;Clorurada
5;42;0;2483;6.11;Clorurada
6;62;0;6370;6.7;Clorurada
0.3;55;0;5170;6.51;Clorurada
50;24;0;545;6.31;Sulfatada
0.5;60.7;1;1738;2.61;Sulfatada
0.4;61.2;1;1300;2.5;Sulfatada
2.5;28;2;3320;2.65;Sulfatada
100;22.1;0;2400;6.46;Sulfatada
100;22.5;0;2325;7.35;Sulfatada
0;53.7;0;44500;7;Sulfatada
5.11;25.2;0;212.5;9.71;Sulfatada
1;42;0;9190;6.25;Clorurada
0.9;43.6;0;9612;6.46;Clorurada
0.5;20.4;2;1838;5.31;Sulfatada
0;34.2;1;1510;7.2;Clorurada
0;35.4;1;399;7.4;Clorurada
0;39.3;1;278000;6.18;Clorurada
0;40.8;1;28;4.5;Sulfatada
0;47;1;0;6.6;Clorurada
0.1;48;0;2673;7.09;Clorurada
0;44.2;0;911;6.7;Clorurada
0;42.1;1;1272;6.66;Clorurada
0.2;39;0;1510;5.79;Clorurada
100;26;0;603;6.32;Sulfatada
3.1;48;1;5200;6.5;Clorurada
1.5;54;1;1560;8.92;Clorurada
3.5;76;0;3000;7.67;Clorurada
0.4;44.3;1;1440;6.5;Clorurada
0.8;59.5;0;7170;6;Clorurada
0.5;28.6;0;7000;7;Clorurada
1.2;46.9;1;28500;6.51;Clorurada
0;30.2;1;2220;7.12;Sulfatada
1;45.8;0;536;6.4;Clorurada
0;32;0;2060;6.88;Clorurada
0;37.1;0;2640;7.8;Clorurada
0.9;33.9;0;347;5.96;Clorurada
0;36.1;2;730;6.9;Clorurada
1.5;72.3;1;1563;6;Clorurada
0;35.6;1;138.2;6.09;Sulfatada
0;32;1;2463;7.09;Clorurada
